Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
01/07/18,114-2295903-7028239,Deep Cleaning - 2 bedrooms  + Inside Oven and Fridge (est. 6 working hours),,B01N4C96TL,,Amazon.com,,new,Fridayhcs,,$0.00,$205.29,1,Bank Account - 222,,,john@exampe.com,01/16/18,John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,,$205.29,$0.00,$205.29,,,,John Randall,USD,
01/07/18,114-2633758-1994641,"Wireless Doorbell 3 Receivers And 2 Push Buttons, IP55 Waterproof Chime Kit, 600 Feet Operating, LED Indicator, 4 Level Volume,52 Chimes Options",,B076BM47Q8,,Amazon.com,,new,Bistee-US,,$0.00,$31.99,2,Bank Account - 222,,,john@exampe.com,01/08/18,John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,AMZN_US(TBA671934663000),$63.98,$0.00,$63.98,,,,John Randall,USD,
01/12/18,114-0084503-0290672,Camco 45191 RV Reflective Vent Cover,Automotive,B0024E6QOO,40101604,Amazon.com,05/23/14,new,Amazon.com,,$6.99,$5.48,1,Visa - 1111,,,john@exampe.com,01/12/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA682425630000),$5.48,$0.36,$5.84,,,,John Randall,USD,
01/12/18,114-0084503-0290672,Ubiquiti Networks Unifi 802.11ac Dual-Radio PRO Access Point (UAP-AC-PRO-US),Personal Computers,B015PRO512,60106401,Amazon.com,,new,GOT IT GIFTS,,$149.00,$130.57,2,Visa - 1111,,,john@exampe.com,01/12/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA682425630000),$261.14,$0.00,$261.14,,,,John Randall,USD,
01/12/18,114-6045899-4313035,Sunland Waterproof Drawstring Sackpack Backpack Gym bag Sports Bag Travel Bag Black,Misc.,B01GROTL70,,Amazon.com,,new,Ecocleaning,,$11.35,$5.99,1,Visa - 1111,,,john@exampe.com,01/18/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA693827483000),$5.99,$0.00,$5.99,,,,John Randall,USD,
01/12/18,114-6045899-4313035,"Disposer Care DP06NPB-03 Garbage Disposer Cleaner, Lemon",Tools & Home Improvement,B01N7G2NA7,47131800,Amazon.com,,new,TheShoppingTimes,,$0.00,$13.55,1,Visa - 1111,,,john@exampe.com,01/18/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA693827483000),$13.55,$0.90,$14.45,,,,John Randall,USD,
01/13/18,111-8990389-4592221,iMBAPrice Single Gang (1-Gang) Low Voltage Mounting Bracket - Black (Pack of 2),Office Product,B00HYHEC38,,Amazon.com,,new,Amazon.com,,$0.00,$6.59,1,Visa - 1111,,,john@exampe.com,01/13/18,John Randall / Other Person2,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2b,Shipped,AMZN_US(TBA683970887000),$6.59,$0.44,$7.03,,,,John Randall,USD,
01/13/18,111-8990389-4592221,"Legrand - On-Q WP3401WH 1Gang, 1Port Wall Plate, White",Tools & Home Improvement,B0034XRLGQ,39121704,Amazon.com,,new,Amazon.com,,$17.90,$5.49,2,Visa - 1111,,,john@exampe.com,01/14/18,John Randall / Other Person2,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2b,Shipped,AMZN_US(TBA684117461000),$10.98,$0.72,$11.70,,,,John Randall,USD,
01/15/18,114-4248386-0265065,Loctite Clear Silicone Waterproof Sealant 2.7-Ounce Tube (908570),Tools & Home Improvement,B0002BBX3U,31200000,Amazon.com,,new,Great Household,,$3.29,$4.19,2,Visa - 3333,,,john@exampe.com,01/15/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9374889697090115987354),$8.38,$0.56,$8.94,,,,John Randall,USD,
01/15/18,114-8532234-7375440,Devcon 22045 Plastic Welder - 25 ml Dev-Tube,Automotive,B003NUGL9S,31201607,Amazon.com,03/30/13,new,Amazon.com,,$5.29,$6.53,1,Visa - 3333,,,john@exampe.com,01/16/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9374889697090116389317),$6.53,$0.43,$6.96,,,,John Randall,USD,
01/15/18,114-8532234-7375440,"Super Glue 15185 Gel, 12-Pack, .07oz tubes",Tools & Home Improvement,B004YEN37K,31201634,Amazon.com,,new,Amazon.com,,$0.00,$7.05,1,Visa - 3333,,,john@exampe.com,01/16/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9374889697090116389317),$7.05,$0.47,$7.52,,,,John Randall,USD,
01/15/18,114-8532234-7375440,"Super Glue 15187 Super Glue, 12-Pack",Tools & Home Improvement,B000LGPD64,31201636,Amazon.com,,new,Amazon.com,,$6.79,$6.30,1,Visa - 3333,,,john@exampe.com,01/18/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA693801395000),$6.30,$0.42,$6.72,,,,John Randall,USD,
01/16/18,114-0139534-7141818,"Mesh Stuff Bag - 15"" x 22"" - Durable Mesh Bag with Sliding Drawstring Cord Lock Closure. Great for Washing Delicates, Rinsing Beach Toys, Seashell Col",Kitchen,B016WVW60C,,Amazon.com,,new,Handy Laundry Products Corp.,,$0.00,$5.05,2,Visa - 3333,,,john@exampe.com,01/18/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA693827483000),$10.10,$0.00,$10.10,,,,John Randall,USD,
01/16/18,114-0139534-7141818,"Mesh Stuff Bag - 15"" x 22"" - Durable Mesh Bag with Sliding Drawstring Cord Lock Closure. Great for Washing Delicates, Rinsing Beach Toys, Seashell Col",Kitchen,B016WVVK7W,24111500,Amazon.com,,new,Handy Laundry Products Corp.,,$0.00,$4.99,2,Visa - 3333,,,john@exampe.com,01/17/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9374889697090117961161),$9.98,$0.00,$9.98,,,,John Randall,USD,
01/16/18,114-0139534-7141818,Vanderfields Earmuffs for Kids - Hearing Protection Muffs For Children Small Adults Women - Foldable Design Ear Defenders Protector with Adjustable Pa,Sports,B01IOVT10G,49131600,Amazon.com,,new,Insonder B.V.,,$0.00,$9.99,1,Visa - 3333,,,john@exampe.com,01/18/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA693801395000),$9.99,$0.00,$9.99,,,,John Randall,USD,
01/16/18,114-0139534-7141818,"Cell Phone Wallet by Cellessentials: (For Credit Card & Id) iPhone, Android & Most Smartphones | 3 Pc Pack (Black, White, Grey)",Wireless Phone Accessory,B01E060CUC,,Amazon.com,,new,Premium Shoppe,,$9.49,$6.89,1,Visa - 3333,,,john@exampe.com,01/18/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA693801395000),$6.89,$0.00,$6.89,,,,John Randall,USD,
01/16/18,114-0139534-7141818,"Mesh Stuff Bag - 15"" x 22"" - Durable Mesh Bag with Sliding Drawstring Cord Lock Closure. Great for Washing Delicates, Rinsing Beach Toys, Seashell Col",Kitchen,B016WVVW7K,24111500,Amazon.com,,new,Handy Laundry Products Corp.,,$0.00,$4.99,2,Visa - 3333,,,john@exampe.com,01/18/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA693801395000),$9.98,$0.00,$9.98,,,,John Randall,USD,
01/16/18,114-2134158-1228267,HEAROS Xtreme Protection Noise Cancelling Disposable Foam Earplugs NRR 33 Hearing Protection,Health and Beauty,B000NP79YM,,Amazon.com,,new,HEAROS,,$9.95,$5.97,1,Visa - 3333,,,john@exampe.com,01/17/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9274890210324508224729),$5.97,$0.00,$5.97,,,,John Randall,USD,
01/16/18,114-5825784-8471460,"Mack's Slim Fit Soft Foam Earplugs, 10 Pair - Small Ear Plugs for Sleeping, Snoring, Traveling, Concerts, Shooting Sports and Power Tools",Health and Beauty,B008MDVSWG,46181901,Amazon.com,11/15/10,new,Dream Essentials,"Registered Small Business, Women-Owned Small Business",$5.49,$7.00,1,Visa - 3333,,,john@exampe.com,01/19/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9400110200830820202307),$7.00,$0.00,$7.00,,,,John Randall,USD,
02/05/18,114-3543367-9386610,"Ziploc Snack Bags, 280 Count",Health and Beauty,B00MR1TK4C,52151506,Amazon.com,01/23/16,new,Amazon.com,,$8.99,$7.49,1,Visa - 3333,,,john@exampe.com,02/07/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA739803490000),$7.49,$0.50,$7.99,,,,John Randall,USD,
02/05/18,114-3543367-9386610,"Paxcoo 1200Pcs Earring Backs Kit with 15 Style Earring backings, Earring hooks and Earrings posts",Office Product,B076BMRJ5H,,Amazon.com,,new,Paxcoo Direct,,$33.99,$7.99,1,Visa - 3333,,,john@exampe.com,02/07/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA739803490000),$7.99,$0.00,$7.99,,,,John Randall,USD,
02/05/18,114-3543367-9386610,"Satinior Caps Stainless Steel Mitten Clips, Strong Stainless Steel Elastic Glove and Mitten Clips for Baby and Kids, 2 Pairs (Black)",Apparel,B077Z2PS81,,Amazon.com,,new,WillbondShop,,$0.00,$8.59,1,Visa - 3333,,,john@exampe.com,02/06/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA736774275000),$8.59,$0.00,$8.59,,,,John Randall,USD,
02/05/18,114-3543367-9386610,Magnetic Mechanical Rotate Timer 60 Minutes Record Capacity Counter Alarm loud Sound Ring Working When Time Is Reached For Kitchen Cooking baking Spor,Kitchen,B075WRPZYF,,Amazon.com,,new,Kirot,,$0.00,$12.99,2,Visa - 3333,,,john@exampe.com,02/06/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA736793643000),$25.98,$0.00,$25.98,,,,John Randall,USD,
02/05/18,114-3543367-9386610,"Plugable 7-Port USB 3.0 SuperSpeed Charging Hub with 60W Power Adapter with BC 1.2 Charging Support for Android, Apple iOS, and Windows Mobile Devices",Personal Computers,B00RM5OF70,43210000,Amazon.com,,new,Plugable Technologies,Registered Small Business,$69.99,$39.95,1,Visa - 3333,,,john@exampe.com,02/06/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA736793643000),$39.95,$0.00,$39.95,,,,John Randall,USD,
02/05/18,114-5622170-4053030,Best of Iron & Wine,Paperback,1603783318,55101500,Amazon.com,,new,PBShop US,,$19.99,$17.76,1,Visa - 3333,,,john@exampe.com,02/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,,$17.76,$0.00,$17.76,,,,John Randall,USD,
02/06/18,114-7031151-6240262,"Slide-Co 243351 Wall Mount Self-Adhesive Door Bumper, Off White,(Pack of 2)",Tools & Home Improvement,B00H3M0S1E,53121700,Amazon.com,,new,Amazon.com,,$4.59,$4.59,1,Visa - 1111,,,john@exampe.com,02/06/18,John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,AMZN_US(TBA737165499000),$4.59,$0.30,$4.89,,,,John Randall,USD,
02/08/18,114-3834145-4013849,Giro Index Snow Goggle - Men's White Pocket Square with Amber Pink Lens,Sports,B01IAQ3CDM,,Amazon.com,,new,Pedigree Ski Shop,,$79.95,$80.99,1,Visa - 3333,,,john@exampe.com,02/08/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9405510200882656861190),$80.99,$0.00,$80.99,,,,John Randall,USD,
02/08/18,114-7330704-6049832,"Vancool 70 PCS Cable Management Reusable Fastening Cable Ties Organizer, 6-Inch Hook & Loop Adjustable Wire Cable Straps for Cable Under Desk,Cord Man",Electronics,B0742BBT24,31151900,Amazon.com,,new,Nest My Life,,$0.00,$8.99,1,Visa - 3333,,,john@exampe.com,02/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA742193670000),$8.99,$0.00,$8.99,,,,John Randall,USD,
02/08/18,114-7330704-6049832,Car Seat Protector and Kick Mat Car Back Seat Cover (4 pack) - 2 sets of Car Seat Protectors and Kick Mat Backseat Organizers - Covers Great for Child,Baby Product,B0711V8PZL,,Amazon.com,,new,Emma + Ollie,,$0.00,$36.99,1,Visa - 3333,,,john@exampe.com,02/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA743684073000),$36.99,$0.00,$36.99,,,,John Randall,USD,
02/08/18,114-7330704-6049832,OUTGEEK Airsoft Half Face Mask Steel Mesh and Goggles Set (Black),Sports,B01ARHRWZG,49221503,Amazon.com,,new,OUTGEEK,,$21.99,$11.98,4,Visa - 3333,,,john@exampe.com,02/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA743684073000),$47.92,$0.00,$47.92,,,,John Randall,USD,
02/08/18,114-7330704-6049832,"Mini 6 inch Lightning Short Iphone Charger Cable,Puridea [5 Pack] Iphone Black Fast Charging Cord,USB Sync To Lightning Wire (Max 2.4A) For iPhone X 8",Electronics,B073ZBVS34,52161500,Amazon.com,,new,CoooStar,,$0.00,$8.99,1,Visa - 3333,,,john@exampe.com,02/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA743684073000),$8.99,$0.00,$8.99,,,,John Randall,USD,
02/08/18,114-7330704-6049832,"AmazonBasics Flat Box Facial Tissues, 2-Ply, White, 30 Boxes",Misc.,B0753GMG4Z,,Amazon.com,,new,Amazon.com,,$24.99,$23.94,1,Visa - 3333,,,john@exampe.com,02/14/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,UPS(1Z9702WW0311761520),$23.94,$1.59,$25.53,,,,John Randall,USD,
02/24/18,114-0114286-2057000,"Construct Pro Velcro Straps with Mounting Rivet, 7"" (qty 10) (Black)",,B079C3LXYY,,Amazon.com,,new,a1-Components,,$0.00,$5.99,1,Visa - 1111,,,john@exampe.com,02/26/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9400110200882670684130),$5.99,$0.00,$5.99,,,,John Randall,USD,
02/24/18,114-2580681-7917035,"Schlage B80 619 12-287 10-116 134 N N SL One-Sided Deadbolt, Satin Nickel",Tools & Home Improvement,B0035OYR20,30171500,Amazon.com,,new,Amazon.com,,$42.00,$23.34,1,Visa - 1111,,,john@exampe.com,02/28/18,John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,AMZN_US(TBA786524594000),$23.34,$1.55,$24.89,,,,John Randall,USD,
02/24/18,114-3189931-4332263,"TEKTON WRN92001 Basin Wrench, 3/8-Inch to 1-Inch Capacity, 11-Inch Reach",Tools & Home Improvement,B01D4ZF0HA,27111708,Amazon.com,,new,Amazon.com,,$11.99,$11.99,1,Visa - 1111,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9361289697090169619328),$11.99,$0.79,$12.78,,,,John Randall,USD,
02/24/18,114-3189931-4332263,"10 Pack, HengQiang Fixate Gel Pads Multifunctional Washable Sticky Round Mats for Indoor/Outdoor/In-car Using (Round Shape)",Wireless Phone Accessory,B06ZXYS726,,Amazon.com,,new,HengQiangHK,,$19.00,$9.80,1,Visa - 1111,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA779292233000),$9.80,$0.00,$9.80,,,,John Randall,USD,
02/24/18,114-7194723-6700263,Kwikset 788A-26D Abbey Half Dummy Lock Satin Chrome Finish,Tools & Home Improvement,B004GMR61E,30171500,Amazon.com,,new,Trader Parrot Security,,$0.00,$11.19,1,Visa - 1111,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,USPS(9300120111402535089053),$11.19,$0.74,$11.93,,,,John Randall,USD,
02/25/18,114-1710412-0882614,"Ikea Stainless Steel Magnetic Knife Rack 602.386.45, 15.75 Inch, Silver",Kitchen,B00Q4O5N6M,,Amazon.com,,new,SHOP$SAVE,,$34.99,$14.40,1,Bank Account - 444,,,john@exampe.com,02/26/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(420070439405511699000961752645),$14.40,$0.00,$14.40,,,,John Randall,USD,
02/25/18,114-4372699-9975433,Kidde Pi9010 Battery  Dual Photoelectric and Ionization Sensor Smoke Alarm,Tools & Home Improvement,B00PC5THCU,46191501,Amazon.com,,new,Amazon.com,,$47.99,$29.27,1,Bank Account - 444,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9361289697090170295955),$29.27,$1.94,$31.21,,,,John Randall,USD,
02/25/18,114-4372699-9975433,"Dreem iPhone 7-8 Plus Wallet Case, Magnetic Detachable Slim-Case, Fibonacci Luxury Vegan Leather, RFID Protection - Black",Wireless Phone Accessory,B01LWOWA46,43191600,Amazon.com,,new,Dreem,,$64.95,$34.99,1,Bank Account - 444,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9361289697090170295955),$34.99,$2.32,$37.31,,,,John Randall,USD,
02/25/18,114-4372699-9975433,"Magnetic Mount, WizGear [2 PACK] Universal Air Vent Magnetic Car Mount Phone Holder, for Cell Phones and Mini Tablets with Fast Swift-Snap Technology,",Wireless Phone Accessory,B01G0X56YU,,Amazon.com,,new,Upper Class Sales,,$19.99,$9.99,1,Bank Account - 444,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9361289697090170295955),$9.99,$0.66,$10.65,,,,John Randall,USD,
02/25/18,114-1367553-3606622,"Dreem iPhone 7-8 Plus Wallet Case, Magnetic Detachable Slim-Case, Fibonacci Luxury Vegan Leather, RFID Protection - Black",Wireless Phone Accessory,B01LWOWA46,43191600,Amazon.com,,new,Dreem,,$64.95,$34.99,1,Bank Account - 444,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9361289697090170295955),$34.99,$2.32,$37.31,,,,John Randall,USD,
02/25/18,114-1367553-3606622,"Magnetic Mount, WizGear [2 PACK] Universal Air Vent Magnetic Car Mount Phone Holder, for Cell Phones and Mini Tablets with Fast Swift-Snap Technology,",Wireless Phone Accessory,B01G0X56YU,,Amazon.com,,new,Upper Class Sales,,$19.99,$9.99,1,Bank Account - 444,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9361289697090170295955),$9.99,$0.66,$10.65,,,,John Randall,USD,
02/25/18,114-3013116-6089029,"Ikea Stainless Steel Magnetic Knife Rack 602.386.45, 15.75 Inch, Silver",Kitchen,B00Q4O5N6M,,Amazon.com,,new,SHOP$SAVE,,$34.99,$14.40,1,Bank Account - 444,,,john@exampe.com,02/26/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(420070439405511699000961752645),$14.40,$0.00,$14.40,,,,John Randall,USD,
02/25/18,114-6943377-4384226,Kidde Pi9010 Battery  Dual Photoelectric and Ionization Sensor Smoke Alarm,Tools & Home Improvement,B00PC5THCU,46191501,Amazon.com,,new,Amazon.com,,$47.99,$29.27,1,Bank Account - 444,,,john@exampe.com,02/25/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9361289697090170295955),$29.27,$1.94,$31.21,,,,John Randall,USD,
03/01/18,114-7502773-2725065,Twin Mattress Bag For Moving - Heavy Duty Cover Protector 5 Mil Thick - Reusable Storage Bed Solution,Kitchen,B01HXZ5O1Y,,Amazon.com,,new,CommercialProducts,,$14.99,$10.99,2,Visa - 1111,,,john@exampe.com,03/02/18,Other Person3 & Other Person4 (Randall),STREE ADDRESS 2 FL 2,,MYTOWN,MYSTATE,ZIP2,Shipped,AMZN_US(TBA790488274000),$21.98,$0.00,$21.98,,,,John Randall,USD,
03/13/18,114-3732305-7742656,Plantronics Spare Ear Loop and Ear Gel Kit for Blackwire 435 - Part Number 85692-01,Accessory,B005YSOO00,43191609,Amazon.com,,new,InStock Group,,$0.00,$19.22,1,Visa - 3333,,,john@exampe.com,03/15/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,Royal Mail,$19.22,$0.00,$19.22,,,,John Randall,USD,
03/13/18,114-5294440-8733823,"AUKEY Car Charger, ULTRA COMPACT Dual Port 4.8A Output (2-Pack) for iPhone iPad Samsung & Others - Black",Wireless Phone Accessory,B01N6C7U5W,26111704,Amazon.com,,new,Aukey Direct,,$0.00,$17.00,1,Visa - 3333,,,john@exampe.com,03/14/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9374889697090171375652),$17.00,$0.00,$17.00,,,,John Randall,USD,
